South-Central Philippines :: 8.4S 116.4E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1
Not Active :: 0.0N 0.0E :: 1

Floaters Last Updated:   Mon Oct 3 23:15:16 UTC 2016
